farmer,"agricola, agricolae, m"
strong,"validus, valida, validum"
true ,"vērus, vēra, vērum"
sharp,"acer, acris, acre"
bold,"audāx, audācis"
short,"brevis, breve"
swift,"celer, celeris, celere"
easy,"facilis, facile"
happy,"fēlix, fēlīcis"
faithful,"fidēlis, fidēle"
brave,"fortis, forte"
heavy,"gravis, grave"
all,"omnis, omne"
powerful,"potēns, potentis"
sad,"trīstis, trīste"
"from, away from (+abl)","ā, ab "
"to, toward (+acc)",ad 
against (+acc),contrā 
with (+abl),cum 
"about, concerning (+abl)",dē 
from (+abl),dē 
"from, out of (+abl)","ē, ex "
"in, on (+abl)",in 
into; against (+acc),in 
under ,sub 
across (+acc),trāns 
